title	link	text	text_len	lem_text	auto_tags	manual_tags	gold_tags
Пять регионов в борьбе с COVID-19 продлили нерабочие дни	https://www.vesti.ru/article/2634849	"В ряде российских регионов для сдерживания распространения коронавируса ужесточают ограничительные меры. Власти нескольких областей уже продлили режим нерабочих дней.
Так, губернатор Смоленской области Алексей Островский подписал указ о продлении в регионе нерабочих дней по 10 ноября включительно. Соответствующие изменения были внесены в указ ""О введении режима повышенной готовности"". Ранее локдаун был введен в регионе с 28 октября по 7 ноября.
Ранее о продлении выходных дней объявил и глава Курской области. Там выходные дни продлятся до 12 ноября включительно.
До такой же даты продлен режим нерабочих дней с сохранением заработной платы в Челябинской области. Отмечается, что с 8 по 14 ноября все образовательные организации региона переходят на дистанционный режим работы. Высшим учебным заведениям также рекомендовано перейти на удаленный формат взаимодействия с учащимися.
Власти Брянской области приняли решение продлить нерабочие дни на неделю – до 14 ноября включительно.
В Томской области губернатор региона Сергей Жвачкин продлил режим нерабочих дней в регионе до 15 ноября.
Кроме того, нерабочие дни до 15 ноября продлены в Новгородской области.
"	166	в ряд российский регион для сдерживание распространение коронавирус ужесточать ограничительный мера власть несколько область уже продлить режим нерабочий день так губернатор смоленский область алексей островский подписать указ о продление в регион нерабочий день по 10 ноябрь включительно соответствующий изменение быть внести в указ о введение режим повышенный готовность ранее локдаун быть ввести в регион с 28 октябрь по 7 ноябрь ранее о продление выходной день объявить и глава курский область там выходной день продлиться до 12 ноябрь включительно до такой же дата продлить режим нерабочий день с сохранение заработный плата в челябинский область отмечаться что с 8 по 14 ноябрь всё образовательный организация регион переходить на дистанционный режим работа высокий учебный заведение также рекомендовать перейти на удалённый формат взаимодействие с учиться власть брянский область принять решение продлить нерабочий день на неделя до 14 ноябрь включительно в томский область губернатор регион сергей жвачкина продлить режим нерабочий день в регион до 15 ноябрь кроме тот нерабочий день до 15 ноябрь продлить в новгородский область	"общество, регионы, выходные, коронавирус, ограничение, пандемия, COVID-19, новости, ГТРК ""Смоленск"""	коронавирус, ограничения, Смоленская область, локдаун, Курская область, Челябинская область, Брянская область, Новгородская область, нерабочие дни, выходные дни	локдаун, курский область, смоленский область, новгородский область, выходной, коронавирус, нерабочий день, регион, брянский область, выходной день, челябинский область
Крушение Ан-12 будет расследовать МАК	https://www.vesti.ru/article/2634804	"Расследованием крушения самолета Ан-12 займется Межгосударственный авиационный комитет. Сейчас создается комиссия, в которую войдут представители белорусского Департамента авиации, сообщает Минтранс РБ.
Тем временем тела всех членов экипажа Ан-12 обнаружены, сообщает агентство ТАСС со ссылкой на собственные источники.
Напомним, катастрофа самолета, принадлежащего белорусской авиакомпании ""Гродно"", произошла 3 ноября. Ан-12 не смог с первого раза приземлиться в аэропорту Иркутска, помешал снег с дождем. На втором заходе самолет разбился в районе села Пивовариха.
Все 7 членов экипажа, среди которых двое россиян, погибли."	79	расследование крушение самолёт ан-12 заняться межгосударственный авиационный комитет сейчас создаваться комиссия в который войти представитель белорусский департамент авиация сообщать минтранс рб тем время тело весь член экипаж ан-12 обнаружить сообщать агентство тасс с ссылка на собственный источник напомнить катастрофа самолёт принадлежащий белорусский авиакомпания гродно произойти 3 ноябрь ан-12 не смочь с первый раз приземлиться в аэропорт иркутск помешать снег с дождь на второй заход самолёт разбиться в район село пивовариха всё 7 член экипаж среди который двое россиянин погибнуть	происшествия, самолет, Белоруссия, крушение, Ан-12, Иркутск, новости	крушение самолета, Ан-12, экипаж, ТАСС, Гродно, Иркутск, Пивовариха	крушение самолёт, экипаж, пивовариха, самолёт, иркутск, ан-12, гродно, тасс, крушение
В новосибирском Толмачево совершил экстренную посадку Boeing-747	https://www.vesti.ru/article/2634873	"Летевший из Бельгии в Китай грузовой Boeing-747 совершил аварийную посадку в новосибирском аэропорту Толмачево. Об этом сообщает Интерфакс со ссылкой на пресс-службу аэропорта.
Пострадавших при инциденте нет. Самолет принадлежит авиакомпании ASL Airlines Belgium. По предварительным данным, причиной экстренной посадки судна стал загоревшийся левый двигатель."	44	лететь из бельгия в китай грузовой boeing-747 совершить аварийный посадка в новосибирский аэропорт толмачево о это сообщать интерфакс с ссылка на пресс-служба аэропорт пострадать при инцидент нет самолёт принадлежать авиакомпания asl airlines belgium по предварительный данные причина экстренный посадка судный стать загореться левый двигатель	происшествия, самолет, ЧП, новости, Новосибирск	Boeing-747, аварийная посадка, самолет, ASL Airlines Belgium	asl airlines belgium, новосибирск, самолёт, аварийный посадка, boeing-747
"СМИ Польши: Россия не заинтересована в ""Северном потоке-2"""	https://www.vesti.ru/finance/article/2634889	"Прокачка российского газа по трубопроводу ""Ямал – Европа"" упала в прошлую субботу до нуля, и ""Газпром"" понес убытки, поскольку не использовал зарезервированные мощности, отмечает Кублик.
С начала ноября ""Газпром"" сократил транзит газа через Украину на фоне возросших потребностей Европы в газе, пишет журналист.
Все это свидетельствует о незаинтересованности России в ""Северном потоке-2"", считает Кублик.
""Не используя уже работающие транзитные газопроводы, чтобы покрыть спрос на газ в Западной Европе, и даже не замечая этого спроса, ""Газпром"" показывает, что в новой трубе (газопроводе ""Северный поток-2"" – прим. ред.) из России в Германию, проходящей по дну Балтийского моря, нет никакой необходимости"", – заявил Кублик
""Газпром"" тем самым манипулирует газовым рынком, оказывая косвенное влияние на экономику стран Европы и настроения в обществе, считает журналист.
Между тем министерство экономики Германии не видит угроз в ""Северном потоке-2"", ""демонстративно игнорируя"" замечания со стороны польского нефтегазового концерна PGNiG.
""Сложно поверить, что немецкие чиновники за четыре рабочих дня успели тщательно изучить почти 600 страниц аналитических выкладок, которые представил концерн"", – заключил Кублик."	163	прокачка российский газ по трубопровод ямал европа упасть в прошлый суббота до нуль и газпром понести убыток поскольку не использовать зарезервированный мощность отмечать кублик с начало ноябрь газпром сократить транзит газ через украина на фон возрасти потребность европа в газа писать журналист всё это свидетельствовать о незаинтересованность россия в северный потоке-2 считать кублик не использовать уже работать транзитный газопровод чтобы покрыть спрос на газ в западный европа и даже не замечать это спрос газпром показывать что в новый труба газопровод северный поток-2 прим ред из россия в германия проходить по дно балтийский море нет никакой необходимость заявить кублик газпром тем самый манипулировать газовый рынок оказывать косвенный влияние на экономика страна европа и настроение в общество считать журналист между тем министерство экономика германия не видеть угроза в северный потоке-2 демонстративно игнорировать замечание с сторона польский нефтегазовый концерн pgnig сложно поверить что немецкий чиновник за четыре рабочий день успеть тщательно изучить почти 600 страница аналитический выкладка который представить концерн заключить кублик	экономика, Германия, Польша, Украина, газ, Северный поток - 2, новости	газ, Газпром, Украина, Европа, Россия, Северный поток-2, Германия, Кублик, экономика	газ, германия, кублик, европа, экономика, россия, газпром, северный поток-2, украина
Для Хачанова турнир в Париже закончен	https://www.vesti.ru/article/2634853	"Карен Хачанов не смог выйти в третий круг проходящего в Париже теннисного турнира с призовым фондом в 3 миллиона долларов. Ранее борьбу завершил Андрей Рублев.
Во втором круге Карен Хачанов играл с болгарским теннисистом Григором Димитровым. В первом сете Карен одержал победу 6:4. Но во втором сете российский теннисист уступил 2:6. Третья партия прошла при полном преимуществе болгарина 6:0. Встреча продолжалась чуть менее двух часов – 1 час 56 минут.
Для Карена Хачанова турнир в Париже завершен. Соперник Григора Димитрова определится в матче между Александром Зверевым (Германия) и Душаном Лайовичем (Сербия)."	91	карен хачан не смочь выйти в третий круг проходить в париж теннисный турнир с призовой фонд в 3 миллион доллар ранее борьба завершить андрей рублёв в второй круг карен хачан играть с болгарский теннисист григор димитров в первый сет карен одержать победа 6:4 но в второй сет российский теннисист уступить 2:6 третий партия пройти при полный преимущество болгарин 6:0 встреча продолжаться чуть менее два час 1 час 56 минута для карен хачановый турнир в париж завершить соперник григор димитров определиться в матч между александр зверев германия и душан лайович сербия	спорт, теннис, Карен Хачанов, новости, ATP-тур теннис	Карен Хачанов, Париж, теннис, турнир, теннисный турнир, Андрей Рублев, Григор Димитров, Александр Зверев, Душан Лайович	александр зверев, андрей рублёв, турнир, григор димитров, теннис, душан лайович, париж, карен хачан, теннисный турнир
Известный телеведущий рассказал о жизни в приемной семье	https://www.vesti.ru/television/article/2634799	"В новом выпуске программы ""Андрей Малахов. Прямой эфир"" на канале ""Россия 1"" сбылась мечта двух женщин: они узнали, что приходятся друг другу родными сестрами. Растроганные героини крепко обнялись, а в студии начали размышлять, как же такое могло произойти. О ситуации высказался телеведущий Арчи, который, как оказалось, вырос в приемной семье и поздно узнал, кто является его биологической матерью.
Светлана и Алевтина родились в советской Бухаре 67 лет назад: у одной сестра умерла в младенчестве, сестренку другой забрали на воспитание другие люди. Разные истории, отсутствие явного внешнего сходства – все это заставило экспертов сомневаться в их родстве. Однако тест ДНК показал, что женщины действительно родственницы. Кроме того, тест сдал и родной младший брат Алевтины. Его результаты также всех шокировали: оказалось, что он не приходится героине родным братом. Эксперты заметили, что родители женщины могли удочерить ее, но не рассказали ей всю правду о ее происхождении.
Гости удивились, что приемные родители Светланы не удочерили обеих девочек. Тогда сестры бы выросли вместе, и никто не смог бы их разлучить. Телеведущий Арчи, выросший в приемной семье, вспомнил собственный жизненный опыт. Его родители также не были ему родными, но он никогда не страдал от этого.

""Моя бабушка была в концлагере, и я не понаслышке знаю, что такое, когда у людей вообще не было денег. Она вырастила своих трех дочерей – у нее большая прекраснейшая семья, они и меня забрали. И я никогда не чувствовал себя чужим в этой семье! Мне родители подарили столько любви, внимания, ласки и заботы. Они вырастили меня, и сегодня я им благодарен"", – сообщил телеведущий.

Он добавил, что на сегодняшний день считает, что у него есть две мамы. Арчи сумел простить свою биологическую родительницу. ""В какой-то момент я для себя решил, что спасибо ей огромнейшее, что она меня воспроизвела. Она отработала как сосуд, дальше у меня включилась своя программа, я прошел по этой судьбе, и на данный момент наши чаши снова вместе. Все происходит в этой жизни так, как и должно быть"", – сказал Арчи.
Как прошла встреча других сестер, которые также встретились в студии программы ""Андрей Малахов. Прямой эфир""? Что думают о чудесном воссоединении Светланы и Алевтины звездные эксперты? Смотрите в эфире канала ""Россия 1"".

Еще больше интересных новостей – в нашем Instagram и Telegram-канале @smotrim_ru."	365	в новый выпуск программа андрей малахов прямой эфир на канал россия 1 сбыться мечта два женщина они узнать что приходиться друг друг родный сестра растрогать героиня крепко обняться а в студия начать размышлять как же такой мочь произойти о ситуация высказаться телеведущий арча который как оказаться вырасти в приёмный семья и поздно узнать кто являться он биологический мать светлана и алевтина родиться в советский бухара 67 год назад у один сестра умереть в младенчество сестрёнка другой забрать на воспитание другой человек разный история отсутствие явный внешний сходство всё это заставить эксперт сомневаться в они родство однако тест днк показать что женщина действительно родственница кроме тот тест сдать и родный младший брат алевтина он результат также весь шокировать оказаться что он не приходиться героиня родный брат эксперт заметить что родитель женщина мочь удочерить она но не рассказать она весь правда о она происхождение гость удивиться что приёмный родитель светлана не удочерить оба девочка тогда сестра бы вырасти вместе и никто не смочь бы они разлучить телеведущий арча вырасти в приёмный семья вспомнить собственный жизненный опыт он родитель также не быть он родный но он никогда не страдать от это мой бабушка быть в концлагерь и я не понаслышке знать что такой когда у человек вообще не быть деньга она вырастить свой три дочь у она больший прекрасный семья они и я забрать и я никогда не чувствовать себя чужой в этот семья я родитель подарить столько любовь внимание ласка и забота они вырастить я и сегодня я они благодарный сообщить телеведущий он добавить что на сегодняшний день считать что у он есть два мама арча суметь простить свой биологический родительница в какой-то момент я для себя решить что спасибо она огромный что она я воспроизвести она отработать как сосуд далёкий у я включиться свой программа я пройти по этот судьба и на данный момент наш чаша снова вместе всё происходить в этот жизнь так как и должный быть сказать арча как пройти встреча другой сестра который также встретиться в студия программа андрей малахов прямой эфир что думать о чудесный воссоединение светлана и алевтина звёздный эксперт смотреть в эфир канал россия 1 ещё большой интересный новость в наш instagram и telegram-канал smotrim_ru	общество, культура, телевидение, усыновление, телеведущий, приемная семья, новости	концлагерь, семья, телеведущий, программа, Андрей Малахов, прямой эфир, Россия 1	приёмный семья, новость, программа, концлагерь, семья, прямой эфир, андрей малахов, телеведущий, россия 1
Мертвые куры под Тюменью будут гореть до 15 ноября	https://www.vesti.ru/article/2634803	"На полигоне Боровской птицефабрики под Тюменью горят тонны биоматериала – тушки зараженных кур. Гореть они будут до 15 ноября, сообщил замгубернатора региона Владимир Чейметов.
Из сообщения, размещенного в telegram-канале ""Опративный штаб. Тюмень"", следует, что на птицефабрике произошла вспышка птичьего гриппа. В итоге предприятие было вынуждено уничтожить всю птицу, 57 тонн продукции и 12 миллионов яиц. Поскольку весь биоматериал сжигают здесь же, на полигоне птицефабрики, жителям ближайших населенных пунктов приходится терпеть специфический запах.
""Горение на полигоне Боровской птицефабрики, где проводится утилизация поголовья кур для ликвидации очага высокопатогенного гриппа птиц, по расчетам специалистов, должно полностью прекратиться к 15 ноября"", – говорится в сообщении.
К этому времени от горящего биоматериала должна остаться только зола. Этого требуют ветеринарные правила. 18 ноября на полигоне будут жечь яичный порошок, это займет одну ночь.
Продукцию птицефабрики жгут на площади в 4 гектара. Всего было сформировано 12 очагов горения, три из них прогорели полностью и погасли.
Ранее сообщалось, что вспышку гриппа на фабрике выявили еще в октябре. После этого Россельхознадзор рекомендовал изъять из продажи продукцию тюменской птицефабрики, а она представлена в 22 регионах страны."	176	на полигон боровский птицефабрика под тюмень гореть тонна биоматериал тушка заразить кура гореть они быть до 15 ноябрь сообщить замгубернатор регион владимир чеймет из сообщение разместить в telegram-канал опративный штаб тюмень следовать что на птицефабрика произойти вспышка птичий грипп в итог предприятие быть вынудить уничтожить весь птица 57 тонна продукция и 12 миллион яйцо поскольку весь биоматериал сжигать здесь же на полигон птицефабрика житель близкий населить пункт приходиться терпеть специфический запах горение на полигон боровский птицефабрика где проводиться утилизация поголовье кура для ликвидация очаг высокопатогенный грипп птица по расчёт специалист должный полностью прекратиться к 15 ноябрь говориться в сообщение к этот время от гореть биоматериал должный остаться только зола это требовать ветеринарный правило 18 ноябрь на полигон быть жечь яичный порошок это занять один ночь продукция птицефабрика жечь на площадь в 4 гектар весь быть сформировать 12 очаг горение три из они прогореть полностью и погаснуть ранее сообщаться что вспышка грипп на фабрика выявить ещё в октябрь после это россельхознадзор рекомендовать изъять из продажа продукция тюменский птицефабрика а она представить в 22 регион страна	общество, происшествия, птичий грипп, птицефабрика, утилизация, новости, Тюмень	Боровская птицефабрика, Тюмень, зараженный, Владимир Чейметов, птичий грипп, Россельхознадзор	утилизация, заразить, птицефабрика, птичий грипп, боровский птицефабрика, владимир чеймет, россельхознадзор, тюмень
"""Я не выживу в СИЗО"": Хованскому продлили арест"	https://www.vesti.ru/article/2634887	"По решению Куйбышевского районного суда Санкт-Петербурга блогер Юрий Хованский останется в ""Крестах"" еще на два месяца — до января 2022 года.
В ходе очередного судебного заседания блогер Юрий Хованский заявил, что не переживет дальнейшего пребывания в СИЗО из-за проблем ""с кровообращением и органами"", передает 78.ru.
Обращаясь к судье, блогер заявил, что его просто держат в СИЗО, подрывая здоровье и веру в человечество, не предоставляя каких-либо доказательств его вины.
Как сообщалось, Хованского задержали 9 июня по делу об оправдании терроризма из-за спетой им песни во время прямого эфира в одной из соцсетей.
Поводом для ареста стала старая публикация его песни, в которой он глумится над терактом, произошедшим на мюзикле ""Норд-Ост"" в 2002 году.
По данным следствия, в июле 2020 года в квартире на Пушкинской улице в Петербурге он исполнил песню, призывающую к осуществлению террористической деятельности, публичное оправдание терроризма и его пропаганду.
В отношении Хованского возбуждено уголовное дело, он внесен в федеральный список террористов и экстремистов."	154	по решение куйбышевский районный суд санкт-петербург блогер юрий хованский остаться в крест ещё на два месяц до январь 2022 год в ход очередной судебный заседание блогер юрий хованский заявить что не пережить дальнейший пребывание в сизый из-за проблема с кровообращение и орган передавать 78.ru обращаться к судья блогер заявить что он просто держать в сизый подрывать здоровье и вера в человечество не предоставлять какой-либо доказательство он вина как сообщаться хованский задержать 9 июнь по дело о оправдание терроризм из-за спеть они песня в время прямой эфир в один из соцсеть повод для арест стать старый публикация он песня в который он глумиться над теракт произойти на мюзикл норд-ост в 2002 год по данные следствие в июль 2020 год в квартира на пушкинский улица в петербург он исполнить песня призывать к осуществление террористический деятельность публичный оправдание терроризм и он пропаганда в отношение хованский возбудить уголовный дело он внести в федеральный список террорист и экстремист	общество, суд, арест, блогер, экстремизм, СИЗО, новости, Юрий Хованский	блогер, Юрий Хованский, Кресты, СИЗО, Норд-Ост, Петербург, терроризм	юрий хованский, терроризм, крест, арест, блогер, сизый, петербург, норд-ост, суд
Нерабочие дни в Смоленской области продлены до 10 ноября	https://www.vesti.ru/article/2634801	"Нерабочие дни в Смоленской области продлятся до 10 ноября включительно. Соответствующие изменения внесены в указ губернатора Смоленской области ""О введении режима повышенной готовности"".
Как передает ГТРК ""Смоленск"", все ограничения и противоковидные меры, предусмотренные в предыдущей редакции указа, будут действовать до 10 ноября включительно. Ранее локдаун был введен в регионе с 28 октября по 7 ноября.
Также в обновленной версии документа говорится о том, что организации, впускающие посетителей по сертификатам о вакцинации, QR-кодам, справкам о перенесенном COVID-19, ПЦР-тестам и медотводам должны обеспечить техническую возможность проверки этих документов без создания очередей.
Кроме того, посетители, предъявляя эти документы, обязаны также показать и документы, удостоверяющие личность.
Ранее о продлении выходных дней объявили главы Томской, Челябинской областей, Курской, Брянской и Новгородской области.
"	120	нерабочий день в смоленский область продлиться до 10 ноябрь включительно соответствующий изменение внести в указ губернатор смоленский область о введение режим повышенный готовность как передавать гтрк смоленск всё ограничение и противоковидный мера предусмотренный в предыдущий редакция указ быть действовать до 10 ноябрь включительно ранее локдаун быть ввести в регион с 28 октябрь по 7 ноябрь также в обновить версия документ говориться о тот что организация впускать посетитель по сертификат о вакцинация qr-код справка о перенести covid-19 пцр-тест и медотвод должный обеспечить технический возможность проверка этот документ без создание очередь кроме тот посетитель предъявлять этот документ обязать также показать и документ удостоверять личность ранее о продление выходной день объявить глава томский челябинский область курский брянский и новгородский область	"общество, регионы, коронавирус, локдаун, COVID-19, новости, ГТРК ""Смоленск"""	Смоленская область, нерабочие дни, коронавирус, локдаун, QR-код, COVID-19, ПЦР-тест	локдаун, qr-код, смоленский область, пцр-тест, гтрк смоленск, нерабочий день, регион, covid-19
В Тульской области нерабочие дни продлевать не будут	https://www.vesti.ru/article/2634847	"Губернатор Тульской области Алексей Дюмин заявил, что в регионе не будут продлевать нерабочие дни. Об этом сообщает ГТРК ""Тула"" со ссылкой на пресс-службу регионального правительства.
По словам главы региона, после окончания периода нерабочих дней, в области будут действовать эпидемиологические ограничения, направленные на снижение распространения коронавируса. Глава региона отметил, что все эти мероприятия дадут эффект, если жители будут строго соблюдать правила, а правоохранительные органы осуществлять надлежащий контроль.

""Мы приняли решение не продлевать нерабочие дни в нашем регионе. При этом необходимо отрегулировать ограничительные меры, которые должны снизить риски распространения инфекции"", – заявил он.

На заседании оперштаба главный санитарный врач заявил о необходимости продлить и после 7 ноября действие системы QR-кодов для посещения общественных мест.
Кроме того, предлагается ввести QR-коды для посещения торговых центров.
Отметим, что министр здравоохранения Тульской области Дмитрий Марков предложил ввести систему выборочных проверок QR-кодов на входах в учреждения и предприятия, а также объявить обязательную самоизоляцию для непривитых пожилых людей, так как они входят в основную группу риска.
Губернатор поддержал эти предложения.
Напомним, что в Тульской области режим нерабочих дней действует с 30 октября по 7 ноября."	177	губернатор тульский область алексей дюмин заявить что в регион не быть продлевать нерабочий день о это сообщать гтрк тула с ссылка на пресс-служба региональный правительство по слово глава регион после окончание период нерабочий день в область быть действовать эпидемиологический ограничение направить на снижение распространение коронавирус глава регион отметить что всё этот мероприятие дать эффект если житель быть строго соблюдать правило а правоохранительный орган осуществлять надлежащий контроль мы принять решение не продлевать нерабочий день в наш регион при это необходимо отрегулировать ограничительный мера который должный снизить риск распространение инфекция заявить он на заседание оперштаб главный санитарный врач заявить о необходимость продлить и после 7 ноябрь действие система qr-код для посещение общественный место кроме тот предлагаться ввести qr-код для посещение торговый центр отметить что министр здравоохранение тульский область дмитрий марков предложить ввести система выборочный проверка qr-код на вход в учреждение и предприятие а также объявить обязательный самоизоляция для непривитый пожилой человек так как они входить в основный группа риск губернатор поддержать этот предложение напомнить что в тульский область режим нерабочий день действовать с 30 октябрь по 7 ноябрь	"регионы, QR-код, коронавирус, ограничение, ГТРК ""Тула"", новости"	Тульская область, Алексей Дюмин, Тула, нерабочие дни, коронавирус, QR-код, Дмитрий Марков	тульский область, qr-код, тула, коронавирус, нерабочий день, алексей дюмин, регион, дмитрий марков, гтрк тула, ограничение
